iter	Passed	Remaining
0	1	106
1	2	100
2	2	96
3	3	90
4	4	89
5	5	88
6	6	88
7	7	87
8	8	86
9	9	86
10	10	85
11	11	84
12	12	83
13	13	83
14	14	82
15	15	81
16	18	90
17	19	88
18	20	87
19	21	86
20	22	85
21	23	84
22	24	82
23	25	81
24	26	80
25	27	79
26	28	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	73
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	55
48	51	54
49	53	53
50	54	52
51	55	50
52	56	49
53	57	48
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	86	20
81	87	19
82	88	18
83	89	16
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
